,Tourn_Title,Location,Dates,Rounds_Single,Rounds_Doubles,Court,Surface,StartDate,EndDate,Latitude,Longitude
40,Newport,"Newport, RI, U.S.A.",2016.07.11 - 2016.07.17,28,16,Outdoor,Grass,2016-07-11,2016-07-17,41.4901024,-71.3128285
41,Bastad,"Bastad, Sweden",2016.07.11 - 2016.07.17,28,16,Outdoor,Clay,2016-07-11,2016-07-17,56.4273888,12.8477217
42,Washington,"Washington, DC, U.S.A.",2016.07.18 - 2016.07.24,48,16,Outdoor,Hard,2016-07-18,2016-07-24,38.9071923,-77.0368707
43,Umag,"Umag, Croatia",2016.07.18 - 2016.07.24,28,16,Outdoor,Clay,2016-07-18,2016-07-24,45.4372062,13.5257205
44,Gstaad,"Gstaad, Switzerland",2016.07.18 - 2016.07.24,28,16,Outdoor,Clay,2016-07-18,2016-07-24,46.475182,7.2853609
45,Kitzbühel,"Kitzbuhel, Austria",2016.07.18 - 2016.07.24,28,16,Outdoor,Clay,2016-07-18,2016-07-24,47.44499,12.39143
46,ATP World Tour Masters 1000 Canada,"Toronto, Canada",2016.07.25 - 2016.07.31,56,24,Outdoor,Hard,2016-07-25,2016-07-31,43.653226,-79.3831843
47,Atlanta,"Atlanta, GA, U.S.A.",2016.08.01 - 2016.08.07,28,16,Outdoor,Hard,2016-08-01,2016-08-07,33.7489954,-84.3879824
48,Los Cabos,"Los Cabos, Mexico",2016.08.08 - 2016.08.14,28,16,Outdoor,Hard,2016-08-08,2016-08-14,22.8905327,-109.9167371
49,ATP World Tour Masters 1000 Cincinnati,"Cincinnati, OH, U.S.A.",2016.08.15 - 2016.08.21,56,24,Outdoor,Hard,2016-08-15,2016-08-21,39.1031182,-84.5120196
50,Winston-Salem,"Winston-Salem, NC, U.S.A.",2016.08.22 - 2016.08.28,48,16,Outdoor,Hard,2016-08-22,2016-08-28,36.09985959999999,-80.244216
51,US Open,"New York, NY, U.S.A.",2016.08.29 - 2016.09.11,128,64,Outdoor,Hard,2016-08-29,2016-09-11,40.7127837,-74.0059413
52,St. Petersburg,"St. Petersburg, Russia",2016.09.19 - 2016.09.25,28,16,Indoor,Hard,2016-09-19,2016-09-25,59.9342802,30.3350986
53,Metz,"Metz, France",2016.09.19 - 2016.09.25,28,16,Indoor,Hard,2016-09-19,2016-09-25,49.1193089,6.175715599999999
